City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,nizao,18.25,-70.2,23.63,89,100,2.08,DO,1731361617
351,mukalla,14.5425,49.1242,24.63,68,6,1.63,YE,1731361618
352,al jawf,29.5,38.75,17.87,50,100,3.02,SA,1731361620
353,calama,-22.4667,-68.9333,24.27,8,0,11.32,CL,1731361234
354,ikongo,-21.8833,47.4333,22.61,97,99,0.56,MG,1731361622
355,uvira,-3.4067,29.1458,21.92,82,82,2.02,CD,1731361623
356,dolisie,-4.1997,12.6739,22.72,93,50,1.29,CG,1731361625
357,taos,36.4072,-105.5731,11.92,40,31,0.89,US,1731361626
358,guerrero negro,27.9769,-114.0611,20.48,52,100,7.87,MX,1731361627
359,sanctuary point,-35.1114,150.629,20.51,73,68,3.27,AU,1731361628
360,presidente medici,-11.1753,-61.9014,27.04,75,99,1.27,BR,1731361630
